Ht,Wt,yd40,Vertical,Bench,BroadJump,Cone3,Shuttle,Draftedyes
5.833,191,4.48,40.5,14,130,6.88,4,0
6.083,183,4.65,29,6,118,7.3,4.39,0
6.167,205,4.48,41.5,16,134,7.01,4.34,1
6.167,302,5.11,32,25,109,7.41,4.62,0
6.083,322,5.27,26.5,36,101,8.24,4.81,0
5.75,217,4.65,32.5,13,117,7.06,4.35,0
5.833,201,4.38,37.5,17,128,6.94,4.19,1
6.333,240,4.66,37.5,26,123,7.24,4.37,0
6.333,311,5.25,30,27,106,7.77,4.67,0
6.167,243,4.6,34,22,119,7.12,4.55,0
6.25,303,5.31,31,26,105,7.39,4.47,1
6.167,301,5.09,29,30,102,7.41,4.53,0
6.417,310,5.14,28,23,104,7.91,4.75,0
5.833,190,4.59,34,12,121,7.38,4.38,1
6.083,192,4.39,40,18,123,6.9,4.26,1
6.083,187,4.44,35.5,18,125,6.81,4.27,1
5.917,192,4.58,33.5,12,123,7.65,4.45,1
5.917,204,4.5,33.5,15,120,7.12,4.32,0
6.083,203,4.68,33.5,13,117,7.28,4.4,0
6.083,231,4.66,32,24,112,7.32,4.28,0
6.333,260,4.75,32,22,120,7.17,4.64,1
6.167,249,4.63,30,26,127,7.27,4.34,1
6.417,257,4.36,39.5,21,134,6.83,4.21,1
6.083,205,4.72,35.5,12,120,6.94,4.24,0
5.917,182,4.53,33.5,10,117,7.02,4.37,0
6.25,246,4.39,34,19,126,6.89,4.4,1
5.5,195,4.59,30,19,117,7.03,4.35,0
6.333,234,4.81,28.5,19,110,7.31,4.43,0
6.083,202,4.7,39.5,7,124,7.14,4.47,0
5.75,184,4.57,31,14,120,7.2,4.34,0
6.083,201,4.65,35.5,18,119,7.4,4.43,0
6.083,204,4.49,39.5,15,128,6.9,4.1,0
6.417,245,4.44,33.5,22,129,7.12,4.3,1
6.083,237,4.97,32.5,12,111,7.47,4.5,0
6.083,268,5.06,30,27,101,7.45,4.53,0
6.083,204,4.53,36.5,16,128,7.03,4.21,1
6.083,186,4.47,36,12,126,7,4.06,0
6.417,301,5.16,32,24,112,7.27,4.57,1
5.833,214,4.6,33.5,23,117,7.19,4.5,0
6.083,231,5.05,31,15,107,7.32,4.54,0
6.167,251,4.58,35.5,25,128,7.51,4.44,0
6.083,236,4.77,32,22,111,7.41,4.3,0
6.25,236,4.6,37.5,22,117,7,4.26,0
5.917,186,4.39,37,15,123,6.89,4.29,1
5.917,193,4.41,43,9,133,6.84,4.08,1
5.75,212,4.52,33,19,121,7.07,4.31,1
6.083,215,4.51,34,24,120,7.25,4.62,0
5.833,180,4.54,36.5,8,127,7.05,4.27,0
5.833,177,4.67,32.5,9,114,7.08,4.44,0
6.333,300,5.04,30.5,22,105,7.76,4.64,0
6.167,267,4.72,37,23,116,7.39,4.48,0
6.5,318,5.54,27,26,97,7.63,4.69,0
6.167,312,5.67,23.5,26,85,8.51,5.37,0
6.083,225,4.66,31,18,119,7.14,4.57,0
6.333,331,5.13,28,30,109,7.76,4.68,1
6.25,304,5.19,26,23,108,7.71,4.82,1
6.083,216,4.76,36,15,123,7.15,4.36,1
6.25,319,5.49,24,20,93,8.2,5.02,0
6.333,304,4.91,33,33,112,7.48,4.45,1
6.333,330,5.09,29,27,109,7.91,4.81,1
5.833,234,4.84,30.5,20,119,7.59,4.63,0
6.167,237,4.79,30,22,110,7.34,4.3,0
6.417,305,5.29,29,24,113,7.96,4.81,0
6.417,305,5.29,29,24,113,7.96,4.81,0
