"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Sticker taps","Link clicks"
18078994321856325,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Day 2 Lunch before the conference  @t.roy.cramm",0,"10/09/2025 09:25",https://instagram.com/stories/atu_business/3739701088271314492,"IG story",,Lifetime,597,453,2,0,,0,308,5,
18323889835211487,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","First Night Eats!! @t.roy.cramm
@abt.5 
@e.ellis28 
@aaron30watkins 
@adrian_falcon66",0,"10/08/2025 18:04",https://instagram.com/stories/atu_business/3739237669806061628,"IG story",,Lifetime,1141,759,4,3,,0,405,58,
17926893531136088,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Views from above!!",0,"10/08/2025 17:53",https://instagram.com/stories/atu_business/3739231903585937641,"IG story",,Lifetime,445,340,2,0,,0,416,,
17972426072791304,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Headed to Chicago✈️ @t.roy.cramm",8,"10/08/2025 17:53",https://instagram.com/stories/atu_business/3739231793812650623,"IG story",,Lifetime,888,592,2,0,,0,428,4,
18059413586539634,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",@t.roy.cramm,13,"10/08/2025 17:51",https://instagram.com/stories/atu_business/3739230865395056040,"IG story",,Lifetime,985,621,6,1,3,0,381,40,
18098904097725680,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Career Connection!! Join us for some lunch!",0,"10/08/2025 09:55",,"IG story",,Lifetime,530,411,3,0,,0,484,,
18072980342178144,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/07/2025 16:10",https://instagram.com/stories/atu_business/3738455504218539369,"IG story",,Lifetime,830,591,8,1,3,0,522,,
18130527994420327,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/07/2025 08:12",,"IG story",,Lifetime,404,301,3,0,,0,351,,
18059902364572781,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/06/2025 11:03",https://instagram.com/stories/atu_business/3737575939737019705,"IG story",,Lifetime,335,250,0,0,1,0,288,11,
18067258907359198,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","RESTOCKED! get yours in Rothwell lobby today!",15,"10/06/2025 08:34",,"IG story",,Lifetime,2561,1560,3,2,,2,302,,
18088845292875158,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"10/06/2025 07:26",,"IG story",,Lifetime,333,263,3,0,,0,248,,
17885308914381646,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"10/03/2025 10:11",,"IG story",,Lifetime,245,186,8,0,,0,216,,
18541011571048071,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","ROTHWELL LOBBY 10/3 ENTERING OUR SHOWGIRL ERA…",15,"10/02/2025 14:37",,"IG story",,Lifetime,373,268,5,1,,1,358,,
18120240373505139,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Free plushie with purchase while supplies last!",0,"10/02/2025 12:29",,"IG story",,Lifetime,374,275,5,1,1,0,347,,
17947613835046196,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Congrats @kylierehberger!!! You’re the winner of our Business Casual giveaway! Stop by the Rothwell lobby from 2:30-4!",5,"10/02/2025 12:03",,"IG story",,Lifetime,451,296,4,0,,0,354,70,
18105755647526242,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Rothwell Lobby, $28",0,"10/02/2025 11:28",,"IG story",,Lifetime,2729,1641,6,1,6,0,368,,
