"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Sticker taps","Link clicks",Follows
17885274237236169,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","🤝Traveling in Style🤝",0,"03/23/2025 11:53",https://instagram.com/stories/atu_business/3594820398967614041,"IG story",,Lifetime,342,271,3,0,0,352,2,,,
17953967174793935,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,50,"03/23/2025 11:24",https://instagram.com/stories/atu_business/3594806414629544763,"IG story",,Lifetime,472,384,1,7,0,334,,8,,
18075084748772420,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/23/2025 10:55",https://instagram.com/stories/atu_business/3594791435316318482,"IG story",,Lifetime,349,287,3,0,0,357,,,,
18504255367048068,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Camera Man:",47,"03/23/2025 06:10",https://instagram.com/stories/atu_business/3594647847471975668,"IG story",,Lifetime,487,381,5,0,0,356,1,51,,
18010139258706528,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Wall Street Here We Come! ATU takes over the Big Apple?",0,"03/22/2025 18:29",https://instagram.com/stories/atu_business/3594294920244914774,"IG story",,Lifetime,752,617,2,0,0,367,,,,
18054148930949854,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","@atuorientation @atuagriculture_tourism @arkansastechjerry @arkansastech",0,"03/22/2025 15:18",https://instagram.com/stories/atu_business/3594199012166533128,"IG story",,Lifetime,431,355,8,0,1,368,4,,,
18056732531136858,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,43,"03/22/2025 10:21",https://instagram.com/stories/atu_business/3594049680130234634,"IG story",,Lifetime,415,322,10,2,0,408,5,,,
17959243568879328,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","THERE’S STILL TIME TO VOTE! GO TO @ATUORIENTATION’S STORIES AND VOTE FOR US! 💪🏼",0,"03/22/2025 05:15",,"IG story",,Lifetime,299,234,3,4,0,370,2,71,,
18302628151214623,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"03/21/2025 14:20",,"IG story",,Lifetime,224,199,2,0,0,236,3,,,
18025649441419933,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"03/21/2025 07:47",,"IG story",,Lifetime,185,165,2,0,0,198,2,,,
18061149197508407,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,1,"03/20/2025 13:08",,"IG story",,Lifetime,161,147,2,0,0,113,,,,
18049536872256480,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Go to @atuorientation’s story and vote for the COBED! @atuagriculture_tourism",0,"03/20/2025 10:37",,"IG story",,Lifetime,185,163,1,0,0,204,2,5,,
18069579940709667,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"03/20/2025 09:18",,"IG story",,Lifetime,190,171,1,0,0,215,,,,
17855149692355293,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Jumbo Jerry has been claimed!",0,"03/20/2025 07:22",,"IG story",,Lifetime,203,185,2,1,0,254,1,,,
18090316921566188,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"03/20/2025 07:22",,"IG story",,Lifetime,208,186,2,0,0,270,1,4,,
17996037332780164,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Congratulations to @gabe_berge8 for winning Jumbo Jerry!!",11,"03/20/2025 07:07",,"IG story",,Lifetime,300,264,3,0,0,250,3,32,,
17951523548942071,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","EastCon Check-In!",0,"03/19/2025 08:28",,"IG story",,Lifetime,333,295,7,0,0,351,8,,,1
17891024733207491,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/18/2025 13:26",,"IG story",,Lifetime,188,178,0,0,0,205,,2,,
18052550165191187,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"03/18/2025 07:21",,"IG story",,Lifetime,152,140,0,0,0,165,,,5,
18036693872244942,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/18/2025 07:17",,"IG story",,Lifetime,152,143,1,0,0,161,,,,
18043458146381840,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Who’s Who 2025 👏 We are SO PROUD to see so many COBED students! Congratulations! @atuagriculture_tourism @arkansastech",0,"03/17/2025 15:21",,"IG story",,Lifetime,382,347,10,0,1,346,2,,,
18047862926063776,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"03/17/2025 14:59",,"IG story",,Lifetime,276,257,2,0,0,283,1,,,
18075087061757712,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Bank OZK trip group 🏦",0,"03/14/2025 11:47",https://instagram.com/stories/atu_business/3588294369948020286,"IG story",,Lifetime,216,201,4,0,0,226,2,,,
17924513610045916,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Some  Of The  From  Bank OZK Art work  Pc: @xiomara_vigil_8",0,"03/14/2025 11:12",https://instagram.com/stories/atu_business/3588276640180272810,"IG story",,Lifetime,172,159,3,0,0,177,,13,,
18145890490370619,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Everyone’s favorite chickens photos 🐓🐔🐤",5,"03/14/2025 10:22",https://instagram.com/stories/atu_business/3588251607273116398,"IG story",,Lifetime,163,144,3,0,0,163,,,,
18379300936138935,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,18,"03/14/2025 10:20",https://instagram.com/stories/atu_business/3588251009593157622,"IG story",,Lifetime,165,145,1,0,0,159,,,,
17843164761443919,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,20,"03/14/2025 10:19",https://instagram.com/stories/atu_business/3588250260808603108,"IG story",,Lifetime,162,140,1,0,0,155,,,,
