"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Sticker taps","Link clicks",Follows
18007177574429873,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","potluck with friends",0,"09/16/2024 16:55",https://instagram.com/stories/atu_business/3458714457875017425,"IG story",,Lifetime,271,216,1,0,0,251,1,,,
17933745953826649,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",@atu_shima,15,"10/31/2024 17:54",https://instagram.com/stories/atu_business/3491359251841267882,"IG story",,Lifetime,212,194,2,0,0,189,1,4,,
18048158728975758,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"10/31/2024 14:19",https://instagram.com/stories/atu_business/3491250985547533395,"IG story",,Lifetime,244,216,1,0,0,221,1,,,
18041380988155716,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"10/31/2024 14:05",https://instagram.com/stories/atu_business/3491244069668379043,"IG story",,Lifetime,214,200,2,0,0,178,,,,
17883522786148261,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","tricking or treating is still happening! stop by the fourth floor and career services!!",0,"10/31/2024 11:48",https://instagram.com/stories/atu_business/3491174985873876526,"IG story",,Lifetime,220,204,0,0,0,201,,,,
17962374872696626,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","@atuagriculture_tourism 
 @atucampuslife 
@arkansastech 
@atucareers",0,"10/31/2024 08:13",,"IG story",,Lifetime,1730,1177,2,1,0,265,,,,
17858115003289742,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/31/2024 06:59",https://instagram.com/stories/atu_business/3491029712468383136,"IG story",,Lifetime,308,258,4,0,0,278,,3,,
18279599794245070,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","The best way to start our day 💚💛 @arkansastechjerry",0,"10/30/2024 08:08",,"IG story",,Lifetime,280,277,4,0,0,297,,,,
17848481697331147,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 10:12",https://instagram.com/stories/atu_business/3489677333873813657,"IG story",,Lifetime,198,195,1,0,0,237,1,,,
18035726096048670,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:53",https://instagram.com/stories/atu_business/3489667705119117146,"IG story",,Lifetime,201,195,1,0,0,233,,,,
17867813499232085,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:53",https://instagram.com/stories/atu_business/3489667702250167773,"IG story",,Lifetime,202,196,1,0,0,238,,,,
18041908120932275,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:52",https://instagram.com/stories/atu_business/3489667398171468369,"IG story",,Lifetime,205,196,1,1,0,246,,,,
17861305587267613,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:52",https://instagram.com/stories/atu_business/3489667397399702267,"IG story",,Lifetime,207,198,1,0,0,253,,,,
17888187951102184,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:52",https://instagram.com/stories/atu_business/3489667389036222323,"IG story",,Lifetime,207,198,2,1,0,254,,,,
17898791715074378,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:52",https://instagram.com/stories/atu_business/3489667397718501270,"IG story",,Lifetime,206,199,2,0,0,258,,,,
18046057342873785,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:52",https://instagram.com/stories/atu_business/3489667395705120096,"IG story",,Lifetime,208,200,1,0,0,264,,,,
18056474875715419,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:52",https://instagram.com/stories/atu_business/3489667397424803332,"IG story",,Lifetime,209,200,0,0,0,269,,,,
17851146717321670,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:52",https://instagram.com/stories/atu_business/3489667395445084498,"IG story",,Lifetime,209,200,1,0,0,263,1,,,
18055965016859204,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:52",https://instagram.com/stories/atu_business/3489667393817925055,"IG story",,Lifetime,211,200,2,0,0,253,,,,
18075710386575444,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2024 09:52",https://instagram.com/stories/atu_business/3489667382635740196,"IG story",,Lifetime,213,202,1,0,0,269,,,,
18072852331607525,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Congrats to our Tech Camp Out WINNERS!",5,"10/29/2024 09:52",https://instagram.com/stories/atu_business/3489667191400634437,"IG story",,Lifetime,222,211,1,2,0,244,,,,
18042157157474462,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,7,"10/28/2024 09:12",,"IG story",,Lifetime,212,204,1,0,0,209,3,,,
18064698904672104,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"10/26/2024 08:10",,"IG story",,Lifetime,208,203,0,0,0,213,1,,,
18029904065123360,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/25/2024 11:17",https://instagram.com/stories/atu_business/3486810830849687012,"IG story",,Lifetime,226,196,1,0,0,226,,,,
17925566759858721,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/25/2024 09:48",https://instagram.com/stories/atu_business/3486766143451362960,"IG story",,Lifetime,235,209,3,1,0,227,1,,,
17961063446702767,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","ATU reacts to 
Hand Cheese 😫
 @thm.business 
@thm.fachschaft.wirtschaft",5,"10/25/2024 07:52",,"IG story",,Lifetime,673,601,0,0,0,249,1,,,
17925280622972455,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",@arkansastechjerry,0,"10/24/2024 17:19",https://instagram.com/stories/atu_business/3486267909721252108,"IG story",,Lifetime,661,591,3,0,0,280,1,4,,
18281442655240007,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","No way!!! 😱",0,"10/24/2024 16:54",https://instagram.com/stories/atu_business/3486255471999314983,"IG story",,Lifetime,212,200,0,0,0,281,,,,
18317706154083127,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/24/2024 16:48",https://instagram.com/stories/atu_business/3486252695856562948,"IG story",,Lifetime,248,219,0,0,0,259,,4,,
