"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Comments,Saves,Follows
18056496746394952,17841476687553432,rosietheribeter,"Rose Gunther","Who doesn’t like a good fashion show? 👔

FREE headshots
February 24th
3-6 pm
Brown 147

Don’t have an outfit? 
Visit the career closet! It’s free to students 🤩

Need help with your resume or interview practice?
Norman Career Services has you covered 🙌

See you there!!

#heckyeahtechyeah #atufbla #collegetocareer",24,"02/19/2026 09:42",https://www.instagram.com/reel/DU8qsu_kTgz/,"IG reel",,Lifetime,1887,1169,57,4,1,0,
18126962893478737,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","They came to @arkansastech dreaming about their futures and ended up finding the one who they’d share it with 💍

From orientation in Rothwell 321A to a proposal in the same room today, Rassen and Aliza, your story is everything 🥹 

Congrats on your engagement! 

@racer_59 @alizahady 💚💛",0,"02/18/2026 18:05",https://www.instagram.com/p/DU6_v-zjGdY/,"IG image",,Lifetime,4136,2033,108,15,4,1,1
17901040413220008,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Service is the sweetest way to celebrate love 💌✨

During our Valentines Card Party, students took time away from their busy schedules to pour creativity and care into 152 handmade cards for the residents of Atkins Nursing and Rehabilitation Center. 

Each card was thoughtfully crafted and full of love. Delivering them was unforgettable and serves as a powerful reminder that small acts of kindness can leave a lasting impact ❤️

#ValentinesDay #CommunityLove #GiveBack",0,"02/14/2026 13:00",https://www.instagram.com/p/DUwKy9RFdAZ/,"IG carousel",,Lifetime,3004,1164,89,2,1,0,0
18105072949643061,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","No gatekeeping allowed 🚫💌

Send this to your favorite human on campus.
Tag them so we know it’s real.

#atubusiness #heckyeahtechyeah #valentines",0,"02/14/2026 08:26",https://www.instagram.com/p/DUvrcWNlYQv/,"IG carousel",,Lifetime,2150,773,66,23,0,0,0
18088664740888429,17841403372800947,nikki_victory,"Nikki Victory","Rollin’ in the dough from Cowsino Night 🎰💰🎲

ft. new merch !",0,"02/12/2026 18:29",https://www.instagram.com/p/DUrm3I2ANuh/,"IG carousel",,Lifetime,2729,956,98,2,1,0,
18194054053346136,17841476687553432,rosietheribeter,"Rose Gunther","🚨Free Shirt Alert🚨

Rothwell Friday February 13th

💕Search around Rothwell
💕Find a hidden T-shirt voucher
💕Being your voucher to Rothwell 419
💕Collect your free T-shirt!

Shirts are limited so you have to be fast 🏃💨

Good luck! 🫡

#arkansastech #heckyeahtechyeah #atubusiness",25,"02/12/2026 10:10",https://www.instagram.com/reel/DUqsd4Yj2vZ/,"IG reel",,Lifetime,1805,1031,57,7,3,0,
17932028304081514,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","In your lucky era? 🎰🍀

Up to $100,000 Business Bucks.
No buy-in. Just pull up.

Cash Cow’s Cow-Sino Night | Thursday, Feb. 12th, 6-8 pm | Rothwell 3rd floor classrooms 

#atubusiness #collegelife #heckyeahtechyeah",17,"02/11/2026 15:19",https://www.instagram.com/reel/DUoqroejaTN/,"IG reel",,Lifetime,1739,1029,54,4,1,1,0
17954178113934834,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Soft-launching your campus crush tomorrow? ☕️👀

Swing by for coffee and stay for the kind of conversations that make campus feel more connected.

Tomorrow, Feb. 12th, 8–10 AM | Rothwell 314

#atubusiness #collegelife #campuscrush",7,"02/11/2026 08:20",https://www.instagram.com/reel/DUn7xk1ElyV/,"IG reel",,Lifetime,5865,2904,104,7,1,2,0
18019532492633264,17841405084435214,elis.gergel,,"Brick by Brick event! 🧱  Went to Brick by Brick and spent the evening building and hanging out with friends. A solid way to switch things up on campus! 💛💚",0,"02/10/2026 18:19",https://www.instagram.com/p/DUmcLBaDoz6/,"IG carousel",,Lifetime,2115,605,60,0,0,0,
18090330251119712,17841402105162969,hannahhhardesty,"💟 hannah hardesty!! 𖦹","had so much fun making valentines cards for the nursing home with @atu_business !!",0,"02/10/2026 13:23",https://www.instagram.com/p/DUl6PO2kjJM/,"IG carousel",,Lifetime,3930,1450,145,3,7,0,
17849887392672756,17841476687553432,rosietheribeter,"Rose Gunther","Real life Barbie moment! 💕

February 6th I had the extraordinary chance to compete for the Miss Arkansas Tech title. The moment you just watched was me getting help with makeup for my interview.

The Miss Arkansas tech pageant offers every girl at Arkansas Tech, the chance to develop skills in interview, presentation, and media preparation. It is also a unique opportunity to earn scholarships while competing to be a role model on campus. There were multiple scholarships awarded throughout the competition and opportunities to learn about the amazing things the other contestants brought to the table.

Though I personally did not win anything, I still enjoyed learning so much not only about myself but the amazing things @arkansastech has to offer.

*Shoutout to Katie who did a amazing job not only with my makeup but helping me figure out what the heck I was supposed to be doing 😂

#collegelife #heckyeahtechyeah #arkansastech #blessed",27,"02/07/2026 13:43",https://www.instagram.com/reel/DUeL_0-jzJV/,"IG reel",,Lifetime,2176,1141,94,3,7,0,
18011256410666733,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","🚨YOU HEARD RIGHT🚨 all free plays, no business bucks needed to participate! ♠️ Test your luck (and skill) to see how big you can win 🎰 

📆Thursday, Feb. 12th at 6pm
📍Rothwell third floor classrooms

#atubusiness #campuslife #harrystyles",12,"02/02/2026 10:27",https://www.instagram.com/reel/DUQ_eDKEh8Z/,"IG reel",,Lifetime,1245,642,27,5,0,0,0
18071486633451980,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","It’s all fun and games until someone starts counting tickets 🎟️

Our OKC plans changed due to the weather, so we pivoted to an arcade showdown.

Who do you think won? Are you Team Katie or Team
Travis? 👀

Winner will be revealed in our story later today! 😏

#collegelife #snowday #arcade #businesstrip #heckyeahtechyeah",28,"01/25/2026 09:12",https://www.instagram.com/reel/DT8QqO6kvEq/,"IG reel",,Lifetime,1172,726,27,1,9,0,0
17910383790146516,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","The results of doing it right 👏🏼

Our MBA program just hit a new growth milestone! Chosen by students who value quality, impact, and a program that meets them where they are, we’re kind of a big deal. 😎

Check out the link in our bio to learn more about our measurable momentum. 

Want to learn more? Let’s connect.",0,"01/24/2026 08:47",https://www.instagram.com/p/DT5pH5cEsrz/,"IG image",,Lifetime,4955,2414,79,2,0,1,1
17977337852975929,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Winter is coming ❄️ Stay safe and warm during this snowstorm, Arkansas Tech ✨

#snowstorm #arkansasweather #winter",9,"01/23/2026 15:06",https://www.instagram.com/reel/DT3vnG9Eud8/,"IG reel",,Lifetime,1752,1133,82,3,2,1,0
18164131798395001,17841402105162969,hannahhhardesty,"💟 hannah hardesty!! 𖦹","come to rothwell on february 10th to make valentines cards!! this is open to all atu students and employees. materials will all be provided and you can make cards for loved ones OR to give to the nursing home (0.5 service hours per card) :)",0,"01/21/2026 13:00",https://www.instagram.com/p/DTyXszMEnmO/,"IG carousel",,Lifetime,4388,1390,170,6,6,0,
17959081638019901,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Moo All The Time. Disco, Occasionally

Cash Cow’s fourth studio album out March 6th 🪩

#CashCow #TPWK #InThePit",0,"01/18/2026 13:00",https://www.instagram.com/p/DToEhwtlYGB/,"IG image",,Lifetime,1304,597,52,2,1,0,0
17889399570283227,17841403372800947,nikki_victory,"Nikki Victory","Start the semester off right and plan with me! 

Shameless Plugs:
- Make Time Capsules w/ First-Gen 1/20
- My 21st Birthday 2/1

#planner #planning #2026 #college",56,"01/17/2026 10:56",https://www.instagram.com/reel/DTn1_gGgR5o/,"IG reel",,Lifetime,1021,685,28,0,0,0,
17989941080869918,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","You mean the best year ever? 🥹

#2016 #collegelife #heckyeahtechyeah #atubusiness #trend",26,"01/15/2026 13:26",https://www.instagram.com/reel/DTi9pN7EpNr/,"IG reel",,Lifetime,7144,5469,137,6,1,2,2
18051768917690454,17841407390794753,will_aaron89,"Will Aaron","Shoutout to Arkansas Nuclear One and Entergy for allowing us to tour their simulators and training facilities!",0,"01/14/2026 13:12",https://www.instagram.com/p/DTgXgZsEh7e/,"IG carousel",,Lifetime,5345,1444,136,4,4,0,
18119932468576576,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","The POV you never knew you needed ✨ Happy first day of class, ATU!

#collegelife #firstdayofclass #raybanmeta",43,"01/12/2026 15:20",https://www.instagram.com/reel/DTbb6riDUAk/,"IG reel",,Lifetime,4811,3499,203,5,2,3,2
18550222381058077,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","and with that, the 2025 season comes to an end at the LeMoyne Smith School of Business ✨ 

#2025recap #collegelife #newyear",15,"01/02/2026 15:55",https://www.instagram.com/reel/DTBwpVqFTUh/,"IG reel",,Lifetime,1145,654,47,2,2,1,0
17970379169999788,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Because we knew you… 💖💚

Congrats to our class of 2025! Go change the world for good. 

#graduation #heckyeahtechyeah #atubusiness",0,"12/13/2025 10:12",https://www.instagram.com/reel/DSNo53_Eq8u/,"IG reel",,Lifetime,7263,4607,218,32,3,4,1
17999494910701304,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Growth happens while you’re busy living 🌟 

The late nights, the risks, the wins you didn’t see coming made you who you are today. 

Graduation is tomorrow! Capture it. Remember it. 

#collegelife #atubusiness #trending",11,"12/12/2025 19:32",https://www.instagram.com/reel/DSMEd7_jPVF/,"IG reel",,Lifetime,5587,3624,211,23,3,1,2
18093094666902960,17841402105162969,hannahhhardesty,"💟 hannah hardesty!! 𖦹","day in my life as a business management major during finals week!",62,"12/10/2025 11:25",https://www.instagram.com/reel/DSGDP8Mj37h/,"IG reel",,Lifetime,1896,1098,81,1,3,0,
17955227912900866,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","It’s almost time for our graduating students!🥹 Stop by the reception at Rothwell lobby before graduation for some goodies, breakfast, and pictures 🎓

📅Dec 13 from 8-9am 

Capture the moment and let us celebrate you! 🎉👏

#seniors #graduation #atubusiness #arkansastech",0,"12/09/2025 11:17",https://www.instagram.com/p/DSDdxR6FVRi/,"IG carousel",,Lifetime,3032,1024,97,2,3,1,0
