"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
17895409971072093,17841403918223670,ashley_.m,"Ashley Muller ☻","took a break from midterms studying for accounting club bowling night! 🎳🤗 #goodasgold #atubusiness #accounting #4teststhisweek",0,"03/04/2025 17:32",https://www.instagram.com/p/DGzKC6bOipG/,"IG carousel",,Lifetime,4186,185,2,7,0,,
18065874859897998,17841400588879469,_livjohnson34,"liv 🍓","february ‘25 behind the scenes at atu cobed 💚💛

✅ first focus day
✅ valentine’s day fun
✅ 1000 photo shoots
✅ treat yourself lunches 
✅ and so much more 🩷

the atu cobed outreach and success team is powered by chilis and dr. pepper ✨

{ #goodasgold #atu2025 #heckyeahtechyeah #atubusiness #gradschoollife #collegelife }",0,"02/28/2025 12:00",https://www.instagram.com/p/DGoQ3kivy3_/,"IG carousel",,Lifetime,2988,100,3,7,0,,
18039671837435543,17841400496704543,josiahhcarterr,LOVE,"Day in my life featuring Tyson with Chic-Fil-A!!
Career connections are the best because they  help me grow my future career!
#heckyeatechyea #goodasgold #atubusiness #lebronjames #accounting",54,"02/27/2025 10:30",https://www.instagram.com/reel/DGlhnuJR5S5/,"IG reel",,Lifetime,4776,158,6,10,0,,
18038609780175452,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","And they would have gotten away with it too… if it weren’t for @atudps!🐮🚨🚔

#caseclosed #mystery #collegelife #cashcow #farmanimalsarentdormpets #badbusiness #nobull",18,"02/25/2025 16:00",https://www.instagram.com/reel/DGg9lCzxIKD/,"IG reel",,Lifetime,11433,541,99,20,17,7071,2
18055363415028349,17841404299442673,savannah.g.rodriguez,"Savannah Rodriguez","Jerry is officially 2 years old! Had so much fun celebrating his special day! 🥳💚💛

#jerrythebulldog #happybirthday #atu #2yearsold",0,"02/24/2025 12:42",https://www.instagram.com/p/DGeClaKpkZD/,"IG carousel",,Lifetime,4579,186,3,9,0,,
18280484116247618,17841400314558589,atuagriculture_tourism,"ATU Department of Agriculture and Tourism","Two days worth of snow and now it’s time to return to classes! We had to say hi to our cattle! 🐄 

#arkansastech #go2atu #atuagriculture #ag #arkansas",6,"02/20/2025 13:31",https://www.instagram.com/reel/DGT0bKbRo4J/,"IG reel",,Lifetime,3228,57,0,1,1,1787,1
17872138329282922,17841404744129332,mekkybliss_,"Mekky Winyarat","#fyp #nashville #viralvideos",15,"02/20/2025 06:54",https://www.instagram.com/reel/DGTHc4mMGP_/,"IG reel",,Lifetime,2332,61,3,12,0,,
17902725243123615,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","At least from the waist up 💁🏼‍♀️

 #businesscasual #productivityhacks #colleglife #workfromhome #snowday #trending #trendingreels #heckyeahtechyeah",8,"02/19/2025 09:48",https://www.instagram.com/reel/DGQ2kVpxATh/,"IG reel",,Lifetime,1863,44,0,1,0,972,0
18098222632504919,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Jerry knew a banger when he heard one 🐾🔥

#Throwback #ATU #favoritesongs #collegelife #heckyeahtechyeah #campuslife #puppy #trendingreels #trending",15,"02/17/2025 10:00",https://www.instagram.com/reel/DGLuasbxX1P/,"IG reel",,Lifetime,1407,108,3,0,0,975,1
18369555043185877,17841401497413900,karson.hutchins,"Karson Hutchins","@atuaccounting bake sale was a success yesterday!!!

#goodasgold #atubusiness #go2atu",0,"02/14/2025 07:00",https://www.instagram.com/p/DGDrb6Au1vD/,"IG carousel",,Lifetime,3037,117,8,3,0,,
17871818787203587,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Back at it again 😎 

#cashmeoutside #cashmeoutsideatu #businessbucks #heckyeahtechyeah #collegelife",67,"02/11/2025 13:51",https://www.instagram.com/reel/DF8rW8nxQ3x/,"IG reel",,Lifetime,4040,79,13,3,2,2424,1
18339849100155747,17841403918223670,ashley_.m,"Ashley Muller ☻","currently OBSESSING over this @atu_business sweatshirt drop!! 💌💐
Come grab yours at the Rothwell lobby pop-up shop Thurs, Feb 13th - Fri, Feb 14th, 1-3pm! $30 each (pink & charcoal grey) – limited sizes, digital payments only! Don’t miss the @atuaccounting bake sale on Thursday too! Best VDay week ever!!! 💘🧸💌😍",0,"02/10/2025 08:50",https://www.instagram.com/p/DF5k1P2OcYL/,"IG carousel",,Lifetime,5447,273,12,8,0,,
18025113869338620,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","💚 ATU Focus Day gave high school students a real taste of life as a student—real classes, real connections, and a glimpse into their future. From hands-on experiences to meeting future classmates, we hope to see these faces back on campus this fall! 🚀📚 Who’s ready to make ATU their home?

#WeMeanBusiness #ATUFocusDay #go2atu #heckyeahtechyeah #collegelife",0,"02/07/2025 12:04",https://www.instagram.com/p/DFyMqyqxS0_/,"IG carousel",,Lifetime,5134,221,7,0,2,2663,2
18031717043532639,17841400502739986,go2atu,"ATU Admissions","Interested in studying business, agriculture, or tourism? 🤔

Join us for the College of Business & Economic Development Focus Days on February 6th at ATU! ✨ Discover academic opportunities, meet our outstanding faculty, and explore your future in these dynamic fields. Register today at www.atu.edu/focusdays. 😀",8,"02/04/2025 11:29",https://www.instagram.com/reel/DFqaPINpV8Q/,"IG reel",,Lifetime,1769,38,4,1,0,,
17842421799415365,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Maybe the real lessons were the pizza parties we earned along the way 🍕

#collegelife #college #heckyeahtechyeah #atubusiness  #pizza 

Feel free to sponsor us, @pizzahut @drpepper 🙏🏻",9,"02/03/2025 09:52",https://www.instagram.com/reel/DFnqIbVxwc1/,"IG reel",,Lifetime,4031,136,12,0,0,2531,0
